,count,mean,std,min,5%,25%,50%,75%,95%,max
ret_fwd_1m,130263.0,0.01035544924423472,0.09997435044173601,-0.9984093872229466,-0.13244467457829529,-0.038885987038282444,0.010645848119233525,0.058084257673887585,0.15036911821713866,6.058206106870228
ret_fwd_3m,129137.0,0.031066634262814793,0.179989431883368,-0.9992780147343931,-0.21594044841918683,-0.05577788894447211,0.029993698802772695,0.11363636363636376,0.27272727272727276,14.540316336688418
ret_fwd_6m,127451.0,0.06284307907031327,0.2622642776127959,-0.9996122528111672,-0.29043071418006267,-0.06608092435106888,0.055707762557077656,0.1764612568961913,0.420544052896335,16.532571980054687
priceToEarningsRatio,130817.0,20.184735269912604,786.6612091137407,-88655.24521739132,-12.030563534038588,10.61337580515298,17.139409951563188,26.76524171270718,69.13335714417484,75635.26797737679
priceToBookRatio,130817.0,78.52894815174704,15618.229716103666,-13463.406184538653,0.5331235920602839,1.5385129601827585,2.6709891817955738,4.931657047104823,15.170930242935606,3261300.385545417
returnOnEquity,130817.0,1.2828317166569114,260.1021534705127,-100.72222222222223,-0.06375880741876237,0.019001701644923426,0.037834346913513804,0.0629567172568859,0.16633266533066132,54314.0
marketCap,130817.0,47487785858.97762,146958252205.08478,0.0,2975951440.0,8930025000.0,17290288000.0,39239983000.0,168422800000.0,4658377230000.0
revenueGrowth,130817.0,0.5679893519160804,58.72505013750964,-27.456570155902003,-0.20717353591805854,-0.033961187214611874,0.01684797476953532,0.07287985865724382,0.2798536231087426,9927.0
filing_lag_days,130817.0,47.75807425640399,30.78497514934976,0.0,2.0,25.0,49.0,67.0,93.0,399.0
