factor,IC_1m_%,t_1m,hit_1m_%,IC_3m_%,t_3m,n_months
returnOnInvestedCapital,4.735942471839298,6.10586608810476,71.06598984771574,5.784209930097097,7.355339037603958,197
returnOnEquity,4.915579850378539,5.842174772801859,67.51269035532995,5.951004970147757,7.1094263796853,197
freeCashFlowYield,6.242420306143705,8.074182993613729,70.55837563451777,7.991494370614928,9.223388937833747,197
revenueGrowth,3.1153932157811983,4.3366444010677725,63.45177664974619,3.9078987792927684,5.775105442315552,197
epsgrowth,5.278653296597198,7.637380690193067,72.08121827411168,6.571937937140694,9.284925831689076,197
