scheme,label,returnOnInvestedCapital,returnOnEquity,freeCashFlowYield,revenueGrowth,epsgrowth
ew,Equal-weight (baseline),0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
ic,IC-weighted,0.2620412979956597,0.216806016436284,0.3006317879266947,0.13090593451735433,0.08961496312400725
ic_ir,IC-IR weighted (50 % shrunk),0.21037468150008723,0.21270095205427206,0.24997925414784614,0.16915502822941392,0.15779008406838055
t2,t-stat squared (50 % shrunk),0.20326399843322898,0.21245599143195476,0.2743982717400633,0.16100530312534392,0.14887643526940894
