strategy,kind,CAGR_%,ann_vol_%,Sharpe,max_drawdown_%,beta_vs_SPY,Jensen_alpha_%,ann_turnover_pa_%,cost_drag_pa_%
LS Q1-Q5 EW,long_short,1.8799375242940508,6.4481146421235325,0.321192055022291,-14.381220200741662,-0.0794663140827007,3.2310616833884374,648.9029467465915,1.297805893493183
Beta-neutral LS Q1-Q5 EQ,long_short,4.319561260660332,6.528870773516812,0.6811904019990502,-12.25708504078078,-0.019209639869686327,4.728964374191589,636.4804924434369,1.272960984886874
Sector-neutral LS Q1-Q5 EQ,long_short,0.3681344399476316,5.632907455304224,0.09354835387529499,-11.717466628618201,-0.08704513960419374,1.7975566566731958,746.713217865213,1.4934264357304259
