strategy,cost_bps,CAGR_%,ann_vol_%,Sharpe,max_drawdown_%,ann_turnover_%,cost_drag_%,Jensen_alpha_%,beta
LS D1-D10 EW,0,3.8259567949031847,9.559420454909231,0.44136945858312804,-21.368087813617343,735.014715035082,0.0,-0.11237934585822841,0.05859649850748869
LS D1-D10 EW,5,3.066443562739063,9.56947858460503,0.36409732094724095,-21.744936306061412,735.014715035082,0.735014715035082,-0.8473940608933104,0.05859649850748869
LS D1-D10 EW,10,2.311882354862571,9.580990233956198,0.28694391011255604,-22.120265421882234,735.014715035082,1.470029430070164,-1.5824087759283925,0.05859649850748869
LS D1-D10 EW,25,0.07762650546776495,9.62419084992854,0.05654113305332041,-24.493502273630973,735.014715035082,3.67507357517541,-3.7874529210336383,0.05859649850748869
LS D1-D10 EW,50,-3.5497255435110953,9.724653873520205,-0.32195602645811167,-47.53903600621974,735.014715035082,7.35014715035082,-7.462526496209048,0.05859649850748869
LS D1-D10 CW,0,3.4000971303111527,11.765839520115424,0.34351398886983503,-27.82797879490887,832.9819841920258,0.0,0.030381819086581024,0.03598243725085205
LS D1-D10 CW,5,2.54340219442295,11.771244226780853,0.27259212534771127,-28.358920019131528,832.9819841920258,0.832981984192026,-0.802600165105445,0.03598243725085205
LS D1-D10 CW,10,1.6930592254863486,11.777975806772185,0.20171263182652394,-28.886438431450646,832.9819841920258,1.665963968384052,-1.635582149297471,0.03598243725085205
LS D1-D10 CW,25,-0.8202742733634638,11.806106853232585,-0.010433537196828508,-32.401741513771235,832.9819841920258,4.164909920960129,-4.134528101873548,0.03598243725085205
LS D1-D10 CW,50,-4.885974615710486,11.879231838432357,-0.3609736247498761,-58.524629897279404,832.9819841920258,8.329819841920258,-8.299438022833677,0.03598243725085205
LS Q1-Q5 EW,0,3.209155708727751,6.433797729905166,0.5236237177238431,-11.870981471124086,648.9029467465915,0.0,-0.08160936112559201,0.045601498692907326
LS Q1-Q5 EW,5,2.542631936511075,6.440055523780271,0.422354454806464,-12.711359875572336,648.9029467465915,0.6489029467465915,-0.7305123078721836,0.045601498692907326
LS Q1-Q5 EW,10,1.8799375242940508,6.4481146421235325,0.321192055022291,-14.381220200741662,648.9029467465915,1.297805893493183,-1.379415254618775,0.045601498692907326
LS Q1-Q5 EW,25,-0.0853629566888503,6.483025259482238,0.019184616395145807,-20.48816816994964,648.9029467465915,3.244514733732958,-3.32612409485855,0.045601498692907326
LS Q1-Q5 EW,50,-3.286068925595742,6.576329828613941,-0.47445010550928607,-41.84527051894275,648.9029467465915,6.489029467465916,-6.570638828591508,0.045601498692907326
LS Q1-Q5 CW,0,4.027830130713617,8.67911748161572,0.4984194699748934,-17.096284736457214,766.1914511235858,0.0,0.004843638794935575,0.04255138009032152
LS Q1-Q5 CW,5,3.235806763103155,8.680456438221222,0.41007632596824467,-17.553508468873435,766.1914511235858,0.7661914511235859,-0.7613478123286503,0.04255138009032152
LS Q1-Q5 CW,10,2.4491909538076895,8.683188630372998,0.32170880441527056,-18.00853409222488,766.1914511235858,1.5323829022471718,-1.5275392634522362,0.04255138009032152
LS Q1-Q5 CW,25,0.12146169435041099,8.699728146710676,0.05688498204463137,-19.36051306296369,766.1914511235858,3.8309572556179283,-3.8261136168229926,0.04255138009032152
LS Q1-Q5 CW,50,-3.652963558722988,8.754906444902735,-0.3810518589997544,-45.27584177081992,766.1914511235858,7.661914511235857,-7.657070872440921,0.04255138009032152
