factor,IC_1m_%,t_1m,hit_1m_%,IC_3m_%,t_3m,n_months
returnOnInvestedCapital,5.814483967170951,6.31902974267272,65.96858638743456,7.426414310584104,7.939083588105292,191
returnOnEquity,6.805891279568852,6.92121058025831,69.10994764397905,8.63972282219665,8.99925681189715,191
freeCashFlowYield,6.777358790820136,7.978560748862504,73.82198952879581,9.228362625192666,10.338232654998274,191
revenueGrowth,2.258455651095125,3.3780089565600426,61.25654450261781,3.305881205002384,5.131820892321285,191
epsgrowth,4.7730690138289225,6.887079281345989,65.44502617801047,6.458299851293749,9.794864469858839,191
