scheme,IC_1m_%,t_1m,hit_1m_%,IC_3m_%,t_3m,hit_3m_%,IC_12m_%,t_12m,hit_12m_%,label
ew,1.7374664334012104,2.867848468114166,58.333333333333336,3.002864213108179,4.763047655765151,66.86746987951807,2.39669203746001,4.507707826020874,66.2420382165605,Equal-weight (baseline)
ic,1.289396419928983,1.8795294522171373,54.166666666666664,1.772888276953236,2.3189196707337794,57.22891566265061,1.617878297252166,2.2633435508317667,56.05095541401274,IC-weighted
ic_ir,1.5740736825828168,2.5141181143726223,56.547619047619044,2.4585601786552234,3.5919618254235597,62.65060240963856,1.938499316489168,3.222270796685113,59.23566878980891,IC-IR weighted (50 % shrunk)
t2,1.5306896151217044,2.418098761728101,55.35714285714286,2.3702235379441023,3.4299694303901123,62.65060240963856,2.1123408759318734,3.403843350185478,59.87261146496815,t-stat squared (50 % shrunk)
