lag,avg_ic_%,t_stat,hit_rate_%,n_months
1,1.3665283932741856,2.4375201243362152,55.8974358974359,195
2,1.7484716236188882,3.168851631563515,58.76288659793815,194
3,1.7785581456513382,3.259123620194669,60.62176165803109,193
4,1.2657703039596762,2.2514928300003056,58.333333333333336,192
5,0.4710754612598813,0.8027562524942701,53.92670157068062,191
6,-0.05730535893816815,-0.10337079447500087,54.21052631578947,190
7,0.44732321090898186,0.8271440961161501,55.55555555555556,189
8,0.7715435722397186,1.364561940519503,53.72340425531915,188
9,1.0067077779891989,1.7463594464803547,55.61497326203209,187
10,0.25187008092513363,0.44834360077783975,54.3010752688172,186
11,0.344380880641952,0.6151238346567403,54.054054054054056,185
12,-0.261512422104957,-0.4877060655226387,50.0,184
