horizon_months,mean_ic_%,ic_ir,t_stat,hit_rate_%,n_months
1,1.3665283932741856,0.17455444168076115,2.4375201243362152,55.8974358974359,195
2,2.116083316766334,0.2673341727141572,3.723534157322582,63.91752577319587,194
3,2.5771762210789473,0.317440030709666,4.41001784664326,65.28497409326425,193
6,2.2674469232817884,0.27056280910838576,3.7294509512524696,66.84210526315789,190
12,1.8994752719213728,0.2808103407655637,3.809096787491813,61.41304347826087,184
