,mean_ic_%,ic_ir,t_stat,hit_rate_%,n_months
LightGBM,0.45528385975291097,0.04197138397452442,0.4876634134518298,51.11111111111111,135.0
XGBoost,0.23879790893209518,0.02469760541004511,0.28696024333292075,50.37037037037037,135.0
Linear composite,1.1342625635545465,0.09364257120262802,1.0880283562914617,54.074074074074076,135.0
