,importance
mom_12_1,0.23917256232314335
reversal,0.18316012553093533
vol_12m,0.16171982969148763
momentum,0.10562247186315055
risk,0.05948362951217178
sentiment,0.05382612844763111
growth,0.05370758088134601
value,0.049583266346759546
quality,0.049354375353025726
size,0.04437003005034897
