strategy,kind,CAGR_%,ann_vol_%,Sharpe,max_drawdown_%,beta_vs_SPY,Jensen_alpha_%,ann_turnover_pa_%,cost_drag_pa_%
Top decile EW,long_only,28.065740785270997,19.054793568457217,1.406591110227445,-30.926988014570988,1.103191188799255,17.710237439700943,220.3077378426658,1.1015386892133292
Top decile CW (ff-adj),long_only,15.156676569276883,17.98565064519841,0.8810234309221421,-29.604395388373263,1.1241285746622165,7.0776818763200255,299.3997987138817,1.4969989935694081
Top quintile EW,long_only,26.165826915868973,17.15775252551947,1.4557873088139122,-34.377194194783215,1.0983870853513777,16.279322078593808,193.10487292266689,0.9655243646133346
Top quintile CW (ff-adj),long_only,13.074777446103859,15.923900899211047,0.8561824394317259,-27.260483724218908,1.0011636483272328,6.03523468177661,265.6582326418436,1.328291163209218
IOZ.AX,benchmark,7.457956150151768,12.878482228130089,0.6259833218212929,-26.601855943437926,1.0,0.0,,0.0
