,composite_rank_ic
2010-01-31,-0.08472489560045723
2010-02-28,-0.052563021197123694
2010-03-31,-0.10957585403882815
2010-04-30,0.14246339039618997
2010-05-31,0.025036283823925618
2010-06-30,-0.10792588227286903
2010-07-31,-0.061845405005319376
2010-08-31,0.10046289504115057
2010-09-30,-0.046250395566574176
2010-10-31,-0.035788096764114055
2010-11-30,-0.14223903779956157
2010-12-31,-0.017012325206248048
2011-01-31,-0.031006735724126096
2011-02-28,-0.07281743507116163
2011-03-31,0.07350864453109955
2011-04-30,0.06384180866939489
2011-05-31,-0.007728267813633023
2011-06-30,0.004241633030909325
2011-07-31,-0.07566604155591428
2011-08-31,-0.08700500476004369
2011-09-30,0.1251172325343833
2011-10-31,0.06397272815914609
2011-11-30,-0.0029490461413635605
2011-12-31,0.010621919114585434
2012-01-31,-0.010741195674984926
2012-02-29,0.04524373841415616
2012-03-31,0.03711512524801047
2012-04-30,0.015043140504765929
2012-05-31,-0.09231911745531436
2012-06-30,-0.08585069305783184
2012-07-31,-0.02143899216050526
2012-08-31,0.009765171959523913
2012-09-30,-0.019850295162156705
2012-10-31,0.10076357440549118
2012-11-30,-0.14124645355619275
2012-12-31,-0.03755881718117655
2013-01-31,0.016996923136565704
2013-02-28,0.059231922217248795
2013-03-31,-0.06528037161844848
2013-04-30,0.061639945436510524
2013-05-31,0.06456965204013601
2013-06-30,0.05094331879813297
2013-07-31,0.07323126775419754
2013-08-31,0.08134739944597788
2013-09-30,-0.10620261946457173
2013-10-31,0.1404920743890213
2013-11-30,-0.07048602872195016
2013-12-31,0.006323545584515561
2014-01-31,-0.06790271634719751
2014-02-28,-0.013868039970879473
2014-03-31,-0.08498397702587702
2014-04-30,-0.050375263398317695
2014-05-31,-0.05710183080740904
2014-06-30,0.04952844393979854
2014-07-31,-0.03809937553081266
2014-08-31,-0.017848359086228463
2014-09-30,0.019333308657209523
2014-10-31,0.11615537082507468
2014-11-30,-0.04057940798395061
2014-12-31,0.031338795749235815
2015-01-31,-0.006860601745841655
2015-02-28,-0.05761059668622694
2015-03-31,-0.13272407289753685
2015-04-30,0.09339959649854464
2015-05-31,0.08023890854683582
2015-06-30,0.11830110228041307
2015-07-31,-0.008190723486835598
2015-08-31,0.11963728746331974
2015-09-30,0.1069838081143229
2015-10-31,0.05974854708097467
2015-11-30,0.1654023237165683
2015-12-31,0.051889136987694005
2016-01-31,0.11012108283464504
2016-02-29,-0.15113465136922014
2016-03-31,-0.13274316134427822
2016-04-30,-0.014973976724107394
2016-05-31,0.0475172482028287
2016-06-30,-0.055785165232626215
2016-07-31,-0.05833825069001618
2016-08-31,-0.04934799907479046
2016-09-30,0.02129228925794154
2016-10-31,0.09137717175775893
2016-11-30,-0.03422462117689349
2016-12-31,0.05738949073914602
2017-01-31,0.11839803111433339
2017-02-28,0.16355929596284807
2017-03-31,0.032590945557750536
2017-04-30,-0.03932861537046997
2017-05-31,0.038515027315480954
2017-06-30,-0.03642308123635924
2017-07-31,-0.022380469972026897
2017-08-31,0.08196613446478142
2017-09-30,0.034445934750220154
2017-10-31,0.042291167127155874
2017-11-30,0.0007228825316679837
2017-12-31,0.03385228112826825
2018-01-31,0.14119982868358247
2018-02-28,-0.05087519998485322
2018-03-31,0.05842039543128065
2018-04-30,0.07518107924016745
2018-05-31,-0.015077607763394504
2018-06-30,-0.0026201946798986237
2018-07-31,0.10990420533162724
2018-08-31,0.052194756994745635
2018-09-30,-0.17399949144327848
2018-10-31,-0.023897729506620075
2018-11-30,0.014324430557938805
2018-12-31,0.010078679727446676
2019-01-31,0.12502606351666493
2019-02-28,-0.05194049018327456
2019-03-31,0.04066352436471282
2019-04-30,-0.011606828372532957
2019-05-31,-0.16314028359868768
2019-06-30,0.05689236468167731
2019-07-31,0.045041478073841804
2019-08-31,0.05530160598284657
2019-09-30,0.1350395248327981
2019-10-31,0.17025994001530007
2019-11-30,-0.02470753304401665
2019-12-31,0.04780771123084492
2020-01-31,-0.02508547844549944
2020-02-29,0.07638760155040619
2020-03-31,0.04964067894825795
2020-04-30,0.08494555578222313
2020-05-31,0.003751699787675645
2020-06-30,0.060341627501968184
2020-07-31,-0.15323410914984642
2020-08-31,0.0831115776415297
2020-09-30,-0.0024579938319753275
2020-10-31,-0.1463243346894324
2020-11-30,0.033711180918876364
2020-12-31,0.054497977991911965
2021-01-31,0.07992861591336586
2021-02-28,-0.07644895709124314
2021-03-31,0.067432783834721
2021-04-30,0.053461745831047076
2021-05-31,0.26094220752731506
2021-06-30,0.10431815253954244
2021-07-31,0.030354931745026174
2021-08-31,-0.037915361565369336
2021-09-30,-0.01809488039200444
2021-10-31,0.16023319965219537
2021-11-30,0.07551370565641626
2021-12-31,0.0893432258988
2022-01-31,0.058052104350313834
2022-02-28,0.019867483080143564
2022-03-31,-0.0369962545029463
2022-04-30,0.09416625707975114
2022-05-31,0.10426003769353723
2022-06-30,0.03773181224222762
2022-07-31,0.030070786723009207
2022-08-31,0.09557052797369943
2022-09-30,0.14742534055395187
2022-10-31,-0.05867645001949559
2022-11-30,-0.059520482370410174
2022-12-31,-0.11587743856777269
2023-01-31,0.10486409974914453
2023-02-28,0.07119574397022688
2023-03-31,-0.14454472625513073
2023-04-30,-0.0450376696805592
2023-05-31,0.04859916532012449
2023-06-30,-0.029751637845707685
2023-07-31,0.11053847727386666
2023-08-31,0.10213495371497902
2023-09-30,-0.06454471633827542
2023-10-31,0.10951382622033859
2023-11-30,-0.0801329390358709
2023-12-31,0.13705523615707288
2024-01-31,0.07236088206310957
2024-02-29,0.020450477467755437
2024-03-31,-0.015271635686750268
2024-04-30,0.0030869960711433385
2024-05-31,0.14303686513059755
2024-06-30,-0.0009564959172607081
2024-07-31,-0.024804596816747026
2024-08-31,0.05528506064730946
2024-09-30,-0.030905536238082794
2024-10-31,0.018487305999155483
2024-11-30,0.03048962943952811
2024-12-31,-0.028128987411143086
2025-01-31,-0.007478653029649838
2025-02-28,-0.04476036967344105
2025-03-31,0.030804454245877418
2025-04-30,0.1046029569653672
2025-05-31,-0.15376173993791
2025-06-30,-0.1401049797824387
2025-07-31,-0.013134529947991807
2025-08-31,0.007614529103127394
2025-09-30,0.035598965493700674
2025-10-31,-0.03919322330089902
2025-11-30,0.027120195068821747
2025-12-31,-0.03522933731324819
2026-01-31,-0.04511666077206158
2026-02-28,-0.0013762992147664196
2026-03-31,0.03115401158902918
