,total_return,CAGR,ann_vol,Sharpe,Sortino,max_drawdown,hit_rate,n_months
Composite long-only (top decile),6.70367358939802,0.13387720096759925,0.16001773813883613,0.8690826037547011,1.24980335011214,-0.2565047507044903,0.6256410256410256,195.0
Composite long-short,0.17678412252880893,0.010067906713199903,0.11499053540234062,0.14557376486792853,0.17879511203704643,-0.2585659197542569,0.5435897435897435,195.0
Ridge long-only (top decile),2.363388391749523,0.09586424236310509,0.166444691713024,0.6345059206224504,1.02254983858699,-0.2595629774539887,0.5849056603773585,159.0
Ridge long-short,-0.6283292131040639,-0.07197617361999564,0.14709143545556067,-0.4329803056669579,-0.5835161190206052,-0.6996089693824463,0.44654088050314467,159.0
EW S&P 500 benchmark,6.235903223552455,0.12951463272179953,0.15944503926791273,0.8473679117926858,1.2008814076534953,-0.2734531778152701,0.6615384615384615,195.0
