strategy,kind,monthly_one_way_turnover_%,ann_turnover_pa_%,long_leg_monthly_turnover_%,short_leg_monthly_turnover_%,avg_holding_period_months
Top decile EW,long_only,29.985340680729216,359.82408816875056,29.985340680729216,0.0,3.3349629428845327
Top decile CW,long_only,32.534716199575215,390.4165943949026,32.534716199575215,0.0,3.0736398432547456
Top quintile EW,long_only,26.464413295529383,317.5729595463526,26.464413295529383,0.0,3.778659246411215
Top quintile CW,long_only,29.983442988113435,359.8013158573612,29.983442988113435,0.0,3.335174017194882
LS D1-D10 EW,long_short,61.251226252923495,735.014715035082,29.985340680729216,31.265885572194268,1.6326203754202724
LS D1-D10 CW,long_short,69.41516534933548,832.9819841920258,32.534716199575215,36.880449149760274,1.44060738740223
LS Q1-Q5 EW,long_short,54.075245562215954,648.9029467465915,26.464413295529383,27.61083226668658,1.8492750048623559
LS Q1-Q5 CW,long_short,63.849287593632155,766.1914511235858,29.983442988113435,33.86584460551872,1.5661881873521992
