date,scheme,returnOnInvestedCapital,returnOnEquity,freeCashFlowYield,revenueGrowth,epsgrowth,_has_history
2010-01-31,t2,0.2,0.2,0.2,0.2,0.2,False
2010-04-30,t2,0.2,0.2,0.2,0.2,0.2,False
2010-07-31,t2,0.2,0.2,0.2,0.2,0.2,False
2010-10-31,t2,0.2,0.2,0.2,0.2,0.2,False
2011-01-31,t2,0.2,0.2,0.2,0.2,0.2,False
2011-04-30,t2,0.2,0.2,0.2,0.2,0.2,False
2011-07-31,t2,0.2,0.2,0.2,0.2,0.2,False
2011-10-31,t2,0.2,0.2,0.2,0.2,0.2,False
2012-01-31,t2,0.2,0.2,0.2,0.2,0.2,False
2012-04-30,t2,0.5019694327534491,0.19803056724655088,0.1,0.1,0.1,True
2012-07-31,t2,0.4680076331978512,0.23199236680214883,0.1,0.1,0.1,True
2012-10-31,t2,0.4898182497578196,0.21018175024218044,0.1,0.1,0.1,True
2013-01-31,t2,0.44903079896651465,0.2509692010334853,0.1,0.1,0.1,True
2013-04-30,t2,0.3130859118839907,0.3824065158180474,0.1045075722979619,0.1,0.1,True
2013-07-31,t2,0.14467139088854628,0.18477587916593294,0.4705527299455208,0.1,0.1,True
2013-10-31,t2,0.20455028181810997,0.1826539077953276,0.41279581038656243,0.1,0.1,True
2014-01-31,t2,0.20610277859098577,0.2223110215801089,0.3715861998289053,0.1,0.1,True
2014-04-30,t2,0.18333026743290398,0.1995339784415033,0.4171357541255927,0.1,0.1,True
2014-07-31,t2,0.10182587838749588,0.10805132421354473,0.5901227973989593,0.1,0.1,True
2014-10-31,t2,0.1,0.1,0.6,0.1,0.1,True
2015-01-31,t2,0.1,0.10002823423084964,0.5999717657691503,0.1,0.1,True
2015-04-30,t2,0.1,0.1,0.6,0.1,0.1,True
2015-07-31,t2,0.1,0.1,0.6,0.1,0.1,True
2015-10-31,t2,0.13135502450585743,0.10957251119152045,0.5544734767146264,0.10272501869501593,0.10187396889297981,True
2016-01-31,t2,0.16536305111314062,0.11329995141378077,0.4181369534089442,0.18407698494665292,0.1191230591174815,True
2016-04-30,t2,0.20694388559517804,0.13734269018831524,0.3033148197723625,0.18629623253315905,0.16610237191098515,True
2016-07-31,t2,0.1599876810774547,0.11990544381789736,0.2511134396155292,0.2616258577784678,0.20736757771065106,True
2016-10-31,t2,0.1,0.1,0.5422782763343144,0.15772172366568565,0.1,True
2017-01-31,t2,0.1,0.1,0.4280795353550295,0.21332519750838136,0.1585952671365891,True
2017-04-30,t2,0.10293205185526545,0.10001471851864414,0.44046204410843226,0.2192797796056682,0.13731140591198998,True
2017-07-31,t2,0.13910206154779145,0.11960341420217874,0.42002550139853545,0.1956896433477338,0.1255793795037606,True
2017-10-31,t2,0.13015512302006177,0.12934935809694886,0.25808626855859584,0.2858857112076671,0.19652353911672638,True
