scheme,label,kind,strategy,CAGR_%,Sharpe,ann_vol_%,max_drawdown_%,beta,Jensen_alpha_%,ann_turnover_pa_%
ew,Equal-weight (baseline),long_only,TopQ CW [ew],16.951754184085143,1.064190436844252,15.998706781351151,-23.501093967154784,1.0622430251281745,1.6050991631451517,358.1200386446216
ew,Equal-weight (baseline),long_short,LS Q1-Q5 EW [ew],2.851944057379008,0.45821815130223886,6.6203024507441395,-12.62079129381447,-0.09169281149826204,4.3646463968045,644.4602970560986
ic,IC-weighted,long_only,TopQ CW [ic],16.91222086791726,1.0306095624535385,16.572294715197415,-22.834564018409754,1.0870015137076632,1.2995750735367275,317.94541217595435
ic,IC-weighted,long_short,LS Q1-Q5 EW [ic],0.9440766201878947,0.16445375028161488,7.346793455032147,-17.431599923006345,-0.11548871151147004,2.88475623049517,604.2507243844011
ic_ir,IC-IR weighted (50 % shrunk),long_only,TopQ CW [ic_ir],16.876397787858988,1.034544608029996,16.46278278514055,-21.134634404116838,1.0810604509613153,1.3377391815124624,335.7911239803378
ic_ir,IC-IR weighted (50 % shrunk),long_short,LS Q1-Q5 EW [ic_ir],1.646241892944511,0.27385464283173,6.809772201246019,-12.906433224244529,-0.1040059974414681,3.3747417804805573,629.4686260836878
t2,t-stat squared (50 % shrunk),long_only,TopQ CW [t2],16.25444939837979,1.0087410246917548,16.332153761957862,-23.33697987022141,1.0738621506874535,0.8856671938345665,338.36013877172763
t2,t-stat squared (50 % shrunk),long_short,LS Q1-Q5 EW [t2],1.3196501569969321,0.22357090537198884,6.939275945483997,-13.08719965230658,-0.10950935493526967,3.141166439155362,630.6922238275586
