date,Top decile EW (net),Top decile CW (net),Top quintile EW (net),Top quintile CW (net),LS D1-D10 EW (net),LS D1-D10 CW (net),LS Q1-Q5 EW (net),LS Q1-Q5 CW (net),SPY (total return),Cap-wtd universe,Equal-wtd universe
2010-01-31,0.05008428700732352,0.037057584313245025,0.04911507988614344,0.039731259100969626,-0.011074212957529616,-0.020747285379309706,-0.007798627331839362,-0.010218018341600929,0.031234444997511268,0.02933947074256029,0.0407684576748113
2010-02-28,0.06881592903922537,0.06797937881688836,0.06873374389521583,0.06696343911181414,-0.02100179383498488,-0.020854634026874288,-0.008926140310093096,-0.005636067482299253,0.06081814890792803,0.06126659875828448,0.07089444044816554
2010-03-31,0.013565325275730282,0.027483221021360936,0.021142521941878562,0.008955628629298691,-0.05156348798691239,-0.04308837843247669,-0.03236114249592516,-0.03882374601024816,0.015470367421226205,0.01570597782183319,0.03208768346592655
2010-04-30,-0.06643889637639758,-0.07493388219068357,-0.05688680061438917,-0.05772050031150791,0.03126660908983685,0.012131436848161408,0.02557262714523894,0.016562187556129863,-0.0794219782681751,-0.07891218793874208,-0.07447640715687132
2010-05-31,-0.07570165895973517,-0.0596045327976622,-0.07271453986605741,-0.05995621802405929,-0.027699780834963796,0.022674073618645787,-0.0067096156892405045,0.01847704528094298,-0.05171574592358241,-0.05082089653388964,-0.06093148676541505
2010-06-30,0.07761499342979201,0.07202800332703059,0.06459490908025248,0.06639253948066114,-0.01925338389997964,-0.022834063801538785,-0.028772936325295883,-0.02260373269032001,0.06826639291671999,0.06737940105036162,0.07214962040278292
2010-07-31,-0.06530266577302489,-0.06298724695826875,-0.06108921300732577,-0.06285705609276886,-0.002682862263865853,0.0072449345171023,-0.009496198228175271,-0.03381339850720392,-0.044924924924924836,-0.04529154696624346,-0.050360163379472155
2010-08-31,0.10243197481843382,0.10363772015029271,0.10771915748707366,0.08810287825272521,0.0009340273296998974,0.012240423891702674,0.010132409920821987,0.0067124806223424986,0.08954848446736241,0.08904359256122979,0.1037759852025498
2010-09-30,0.026450411706489704,0.02561014827896287,0.023361636651941714,0.03493593672849412,0.006299899952182436,-0.01661228043152082,-0.004963055176117944,0.0019103187391214956,0.038208472815421946,0.03665203102980388,0.02957178623088929
2010-10-31,-0.00287547176052801,0.003006998569156586,0.003656058388817525,-0.006494977845233173,-0.019625485355003396,-0.03862751496160457,-0.005678177526154158,-0.00861322886603721,0.0,-0.0005777403283281426,0.00791767888739699
