strategy,gross_CAGR_%,cost_drag_pa_%,net_CAGR_%,gross_Sharpe,net_Sharpe,ann_turnover_pa_%
LS D1-D10 EW,3.8259567949031847,1.470029430070164,2.311882354862571,0.44136945858312804,0.28694391011255604,735.014715035082
LS D1-D10 CW,3.4000971303111527,1.665963968384052,1.6930592254863486,0.34351398886983503,0.20171263182652394,832.9819841920258
LS Q1-Q5 EW,3.209155708727751,1.297805893493183,1.8799375242940508,0.5236237177238431,0.321192055022291,648.9029467465915
LS Q1-Q5 CW,4.027830130713617,1.5323829022471718,2.4491909538076895,0.4984194699748934,0.32170880441527056,766.1914511235858
