strategy,kind,CAGR_%,ann_vol_%,Sharpe,max_drawdown_%,beta_vs_SPY,Jensen_alpha_%,ann_turnover_pa_%,cost_drag_pa_%
LS Q1-Q5 EW,long_short,10.631712071376253,15.678174293370828,0.7261062274882383,-36.080076014043684,-0.1455612646981323,14.272540119904473,342.5574296360764,1.7127871481803818
LS Q1-Q5 EW (sector-neutral),long_short,9.197673168136022,12.6963471562801,0.7588610091315804,-21.813860778707074,-0.22844311635385378,11.391528052713394,399.3857868020304,1.9969289340101528
