strategy,kind,monthly_one_way_turnover_%,ann_turnover_pa_%,long_leg_monthly_turnover_%,short_leg_monthly_turnover_%,avg_holding_period_months
Top decile EW,long_only,18.866592366753455,226.39910840104145,18.866592366753455,0.0,5.300374230601342
Top decile CW (ff-adj),long_only,25.079020703313905,300.9482484397668,25.079020703313905,0.0,3.9873965248884757
Top quintile EW,long_only,16.383950916144407,196.60741099373288,16.383950916144407,0.0,6.1035339102158845
Top quintile CW (ff-adj),long_only,21.58023668787025,258.962840254443,21.58023668787025,0.0,4.6338694726275955
LS Q1-Q5 EW,long_short,28.914472774241563,346.9736732908987,16.383950916144407,12.530521858097151,3.4584756492286775
LS Q1-Q5 EW (sector-neutral),long_short,34.0742889372331,408.8914672467972,17.03714446861655,17.03714446861655,2.934764102758125
